nuvirdi;teg_eign;matssvaedi;ibm2
 15412;Íbúðareign; 72; 504
 18644;Íbúðareign; 11; 682
 12171;Íbúðareign; 20; 449
 22854;Íbúðareign;130; 962
 29974;Íbúðareign; 80;1032
 11990;Íbúðareign; 80; 312
 15785;Íbúðareign;160; 746
 23339;Íbúðareign;200;1151
 16000;Íbúðareign; 90; 765
 25824;Íbúðareign;130; 976
 12870;Íbúðareign;160; 506
 23899;Íbúðareign; 80;1136
  8562;Íbúðareign; 11; 336
 18060;Íbúðareign;220; 815
 18222;Íbúðareign; 20; 487
 20750;Íbúðareign;120; 884
 17631;Íbúðareign; 25; 573
 21711;Íbúðareign; 20; 655
 23493;Íbúðareign;130; 942
 18917;Íbúðareign;100; 794
 18800;Íbúðareign; 90; 634
 20744;Íbúðareign;180; 824
 40158;Einbýlishús;120;1388
 44153;Íbúðareign; 90;1341
 31838;Íbúðareign; 80;1103
 15900;Íbúðareign;160; 595
 18500;Íbúðareign;100; 734
 27048;Íbúðareign; 20;1084
 17600;Íbúðareign;200; 846
 15468;Íbúðareign;100; 477
 10996;Íbúðareign;160; 564
 19193;Íbúðareign; 70;  80
 31902;Íbúðareign;280;1232
 62889;Einbýlishús;270;1617
 36540;Íbúðareign; 80;1212
 15400;Íbúðareign; 90; 459
 16780;Íbúðareign;180; 663
 17090;Íbúðareign; 91; 678
 25500;Íbúðareign;281; 775
 37716;Íbúðareign; 20;1127
 17889;Íbúðareign;100;1029
 18855;Íbúðareign;120; 823
 20856;Íbúðareign;283; 914
 19993;Íbúðareign;200;1007
 16261;Íbúðareign;100; 795
 28833;Íbúðareign;180;1136
 16458;Íbúðareign; 91; 679
 22282;Íbúðareign; 91;1037
 48626;Einbýlishús;120;1598
 27092;Íbúðareign;210;1076
 40841;Íbúðareign; 31;1269
 21344;Íbúðareign;283; 937
 29300;Íbúðareign; 70; 856
 28438;Íbúðareign; 20; 871
 16198;Íbúðareign;120; 612
 37929;Íbúðareign; 25;1003
 33940;Einbýlishús; 20; 996
 21764;Íbúðareign;220; 762
 21884;Íbúðareign;180; 782
 27616;Íbúðareign;180;1191
 35971;Íbúðareign;100;1572
 31188;Íbúðareign;100; 944
 18937;Íbúðareign; 11; 437
 17195;Íbúðareign;100;  52
 15945;Íbúðareign; 72; 551
 34463;Íbúðareign;100;1452
 35484;Íbúðareign; 72;1324
 27707;Íbúðareign;270;1176
 26914;Íbúðareign;110;1057
 26255;Íbúðareign;100; 713
 31382;Íbúðareign; 72; 114
 34950;Íbúðareign;270;1275
 12831;Íbúðareign;170; 755
 23185;Íbúðareign;130;1019
 40930;Íbúðareign; 20;1084
 13873;Íbúðareign;100; 591
 14531;Íbúðareign;170; 664
 26187;Íbúðareign;120;1213
 34000;Íbúðareign; 25; 102
 14292;Íbúðareign;160; 577
 20479;Íbúðareign; 20; 644
 16417;Íbúðareign; 20; 704
 28980;Íbúðareign;270;1176
 19826;Íbúðareign; 70; 708
 17250;Íbúðareign; 80; 787
 26103;Íbúðareign;120;1173
 28462;Íbúðareign;270;1071
 12282;Íbúðareign;100;  48
 16284;Íbúðareign;170; 911
 10200;Íbúðareign;100; 415
 19416;Íbúðareign; 90; 623
 22500;Íbúðareign; 90;1033
 35204;Íbúðareign;280;1138
 24893;Íbúðareign;110; 951
 12938;Íbúðareign; 25; 394
 36558;Einbýlishús;281;1377
 17340;Íbúðareign;160; 751
 17981;Íbúðareign;130; 777
 23915;Íbúðareign; 70; 961
 19000;Íbúðareign; 91;1026
 15886;Íbúðareign;110; 555
 18909;Íbúðareign;130; 833
 14853;Íbúðareign;220;  54
 16896;Íbúðareign; 91; 692
 15900;Íbúðareign; 90; 716
 21000;Íbúðareign; 70; 872
 41697;Íbúðareign; 70;1071
 19271;Íbúðareign;130; 769
 19552;Íbúðareign; 72; 546
 16640;Íbúðareign; 90; 429
 14581;Íbúðareign;100; 691
 22567;Íbúðareign;270; 832
 21972;Íbúðareign; 91; 998
 32332;Íbúðareign; 25; 734
 35103;Íbúðareign; 90;1129
 22850;Íbúðareign;100; 947
 20983;Íbúðareign; 72; 796
 26527;Íbúðareign; 72; 866
 24051;Íbúðareign;160;1156
 19498;Íbúðareign;160;  72
 15600;Íbúðareign;160; 596
 14993;Íbúðareign;100; 559
 29387;Íbúðareign; 20; 999
 40479;Einbýlishús;281;1803
 22188;Íbúðareign; 11; 792
 22242;Íbúðareign;100;  74
 35236;Íbúðareign; 20;1024
 15191;Íbúðareign;161; 749
 19859;Íbúðareign; 90;  74
 18367;Íbúðareign; 91; 896
 22240;Íbúðareign; 70; 753
 20969;Íbúðareign; 25; 675
 24398;Íbúðareign;180;1114
 27500;Íbúðareign; 20;  99
 15860;Íbúðareign;100;  50
 22919;Íbúðareign; 85; 961
 20974;Íbúðareign;170;1177
 31900;Íbúðareign;100; 114
 20286;Íbúðareign; 90; 839
 27596;Íbúðareign;150;1628
 43057;Íbúðareign;150;1757
 11973;Íbúðareign; 20; 514
 24924;Íbúðareign;110;1063
 25996;Íbúðareign; 90; 749
 30323;Íbúðareign; 85;1051
 27763;Íbúðareign;180; 106
 61554;Einbýlishús; 72;1839
 19757;Íbúðareign;130; 934
 15314;Íbúðareign; 11; 569
 15493;Íbúðareign; 90; 589
 14623;Íbúðareign;160; 791
 15741;Íbúðareign;161; 733
 21949;Íbúðareign;100; 906
 22125;Íbúðareign;110; 942
 19900;Einbýlishús;100; 583
 20844;Íbúðareign;100; 914
 18016;Íbúðareign;281; 512
 20362;Íbúðareign; 20; 886
 25453;Íbúðareign;130;  87
 17493;Íbúðareign; 72; 517
 22916;Íbúðareign; 91;1056
 22360;Íbúðareign;130; 944
 17272;Íbúðareign; 20; 539
 21300;Íbúðareign;180; 823
